task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	31/4ce804	1596892	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2022-03-02 22:57:40.798	1.1s	0ms	36.4%	6.6 MB	13.4 MB	686.8 KB	1.1 KB
9	11/348306	1597147	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (4581_P0)	COMPLETED	0	2022-03-02 22:57:42.086	11.1s	9s	218.7%	816.5 MB	3.8 GB	63.8 MB	3.7 MB
11	64/0a8f62	1597850	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (4658_P0)	COMPLETED	0	2022-03-02 22:57:53.157	12.1s	11s	177.8%	1.7 GB	2.2 GB	107.1 MB	29.5 MB
12	f6/1a0771	1598584	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (4649_P0)	COMPLETED	0	2022-03-02 22:58:05.245	12.6s	12s	193.5%	1.7 GB	2.2 GB	121.1 MB	37.8 MB
13	c5/aee75d	1599315	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (4649_P0)	COMPLETED	0	2022-03-02 22:58:17.805	11.9s	10s	226.8%	793.9 MB	3.8 GB	81.9 MB	3.7 MB
14	06/73468a	1600003	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (4658_P0)	COMPLETED	0	2022-03-02 22:58:29.730	10.7s	9s	230.8%	825.8 MB	3.8 GB	68.4 MB	3.7 MB
10	11/70a8a1	1600665	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (4645_P0)	COMPLETED	0	2022-03-02 22:58:40.396	12.7s	11s	218.6%	794.6 MB	3.9 GB	88.2 MB	3.7 MB
7	32/381f14	1601448	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (4645_P0)	COMPLETED	0	2022-03-02 22:58:53.116	13.7s	13s	192.6%	1.8 GB	2.3 GB	127.5 MB	41.3 MB
8	3e/468627	1602234	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (4581_P0)	COMPLETED	0	2022-03-02 22:59:06.795	10.9s	10s	183.4%	1.7 GB	2.1 GB	98.1 MB	26.7 MB
4	55/3c4772	1602916	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (SARS-CoV-2.reference.fasta)	COMPLETED	0	2022-03-02 22:59:17.669	2.9s	2s	74.9%	70 MB	15.1 GB	17.9 MB	17.7 KB
