Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,HOST,Instrument,Isolate,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,gisaid_accession,GISAID_virus_name
SRR18231909,Targeted-Capture,602,768031600,PRJNA812959,SAMN26442917,SARS-CoV-2: clinical or host-associated,504914475,CANADIAN FOOD INSPECTION AGENCY,"Ontario Ministry of Northern Development\, Mines\, Natural Resources and Forestry",2021-12-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX14373352,Canada,North America,Canada: Ontario,NA,Odocoileus virginianus,Illumina MiSeq,ON-WTD-wcov-04662-2575,nasal swab,4662-fg-onetest,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-03-04T00:00:00Z,ON-WTD-wcov-04662-2575,SRP362554,EPI_ISL_10177537,hCoV-19/Canada/ON-WTD-wcov-04662-2575/2021
SRR18231910,Targeted-Capture,602,867969620,PRJNA812959,SAMN26442916,SARS-CoV-2: clinical or host-associated,559503349,CANADIAN FOOD INSPECTION AGENCY,"Ontario Ministry of Northern Development\, Mines\, Natural Resources and Forestry",2021-12-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX14373351,Canada,North America,Canada: Ontario,NA,Odocoileus virginianus,Illumina MiSeq,ON-WTD-wcov-04658-2372,nasal swab,4658-fg-onetest,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-03-04T00:00:00Z,ON-WTD-wcov-04658-2372,SRP362554,EPI_ISL_10176284,hCoV-19/Canada/ON-WTD-wcov-04658-2372/2021
SRR18231912,Targeted-Capture,602,894995206,PRJNA812959,SAMN26442914,SARS-CoV-2: clinical or host-associated,591120928,CANADIAN FOOD INSPECTION AGENCY,"Ontario Ministry of Northern Development\, Mines\, Natural Resources and Forestry",2021-11-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX14373349,Canada,North America,Canada: Ontario,NA,Odocoileus virginianus,Illumina MiSeq,ON-WTD-wcov-04645-24062,nasal swab,4062-fg-onetest,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-03-04T00:00:00Z,ON-WTD-wcov-04645-24062,SRP362554,EPI_ISL_10174960,hCoV-19/Canada/ON-WTD-wcov-04645-24062/2021
SRR18231905,AMPLICON,298,39960906,PRJNA812959,SAMN26442916,SARS-CoV-2: clinical or host-associated,13478582,CANADIAN FOOD INSPECTION AGENCY,"Ontario Ministry of Northern Development\, Mines\, Natural Resources and Forestry",2021-12-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX14373356,Canada,North America,Canada: Ontario,NA,Odocoileus virginianus,Illumina MiniSeq,ON-WTD-wcov-04658-2372,nasal swab,4658-articv4,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-03-04T00:00:00Z,ON-WTD-wcov-04658-2372,SRP362554,EPI_ISL_10176284,hCoV-19/Canada/ON-WTD-wcov-04658-2372/2021
SRR18231906,AMPLICON,298,21313854,PRJNA812959,SAMN26442915,SARS-CoV-2: clinical or host-associated,7546726,CANADIAN FOOD INSPECTION AGENCY,"Ontario Ministry of Northern Development\, Mines\, Natural Resources and Forestry",2021-11-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX14373355,Canada,North America,Canada: Ontario,NA,Odocoileus virginianus,Illumina MiniSeq,ON-WTD-wcov-04649-D3262,nasal swab,4649-articv4,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-03-04T00:00:00Z,ON-WTD-wcov-04649-D3262,SRP362554,EPI_ISL_10175390,hCoV-19/Canada/ON-WTD-wcov-04649-D3262/2021
SRR18231911,Targeted-Capture,602,623600964,PRJNA812959,SAMN26442915,SARS-CoV-2: clinical or host-associated,414584114,CANADIAN FOOD INSPECTION AGENCY,"Ontario Ministry of Northern Development\, Mines\, Natural Resources and Forestry",2021-11-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX14373350,Canada,North America,Canada: Ontario,NA,Odocoileus virginianus,Illumina MiSeq,ON-WTD-wcov-04649-D3262,nasal swab,4649-fg-onetest,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-03-04T00:00:00Z,ON-WTD-wcov-04649-D3262,SRP362554,EPI_ISL_10175390,hCoV-19/Canada/ON-WTD-wcov-04649-D3262/2021
SRR18231914,Targeted-Capture,602,1080196292,PRJNA812959,SAMN26442912,SARS-CoV-2: clinical or host-associated,730087088,CANADIAN FOOD INSPECTION AGENCY,"Ontario Ministry of Northern Development\, Mines\, Natural Resources and Forestry",2021-11-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX14373347,Canada,North America,Canada: Ontario,NA,Odocoileus virginianus,Illumina MiSeq,ON-WTD-wcov-04538-2566,retropharyngeal lymph node,4538-fg-onetest,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-03-04T00:00:00Z,ON-WTD-wcov-04538-2566,SRP362554,,
SRR18231917,AMPLICON,298,34507804,PRJNA812959,SAMN26442911,SARS-CoV-2: clinical or host-associated,12617034,CANADIAN FOOD INSPECTION AGENCY,"Ontario Ministry of Northern Development\, Mines\, Natural Resources and Forestry",2021-11-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX14373344,Canada,North America,Canada: Ontario,NA,Odocoileus virginianus,Illumina MiniSeq,ON-WTD-wcov-04534-2564,retropharyngeal lymph node,4534-articv4,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-03-04T00:00:00Z,ON-WTD-wcov-04534-2564,SRP362554,,
SRR18231904,AMPLICON,298,23420714,PRJNA812959,SAMN26442917,SARS-CoV-2: clinical or host-associated,8287364,CANADIAN FOOD INSPECTION AGENCY,"Ontario Ministry of Northern Development\, Mines\, Natural Resources and Forestry",2021-12-01,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX14373357,Canada,North America,Canada: Ontario,NA,Odocoileus virginianus,Illumina MiniSeq,ON-WTD-wcov-04662-2575,nasal swab,4662-articv4,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-03-04T00:00:00Z,ON-WTD-wcov-04662-2575,SRP362554,EPI_ISL_10177537,hCoV-19/Canada/ON-WTD-wcov-04662-2575/2021
SRR18231907,AMPLICON,298,32389620,PRJNA812959,SAMN26442914,SARS-CoV-2: clinical or host-associated,11160863,CANADIAN FOOD INSPECTION AGENCY,"Ontario Ministry of Northern Development\, Mines\, Natural Resources and Forestry",2021-11-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX14373354,Canada,North America,Canada: Ontario,NA,Odocoileus virginianus,Illumina MiniSeq,ON-WTD-wcov-04645-24062,nasal swab,4062-articv4,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2022-03-04T00:00:00Z,ON-WTD-wcov-04645-24062,SRP362554,EPI_ISL_10174960,hCoV-19/Canada/ON-WTD-wcov-04645-24062/2021
