D614G,4581/4645,4658,ON_PHL_21_44225,Omicron
2780.8680,987.16680,1146.6570000,2683.12300,1444.87800
811.0300,2323.96000,699.7901000,1651.80000,377.92890
50.0000,126.23070,451.4673000,50.00000,50.00000
1390.8210,219.97360,423.1909000,436.87200,50.00000
1184.8340,262.88120,235.6823000,525.21010,50.00000
314.1690,695.89420,439.9472000,492.12600,50.00000
50.0000,50.00000,50.0000000,50.00000,50.00000
831.9468,489.47630,421.4075000,810.37280,148.92030
4837.9290,3949.44700,5440.6960000,13308.49000,219.63540
678.8866,487.80490,275.6340000,713.77590,50.00000
