D614G,4581/4645,4658,ON_PHL_21_44225,Omicron
137.93100,50.00000,50.00000,50.000000,50.00000
4206.98400,2575.32800,2665.95600,4428.698000,813.00810
100.74550,50.00000,50.00000,50.000000,50.00000
5973.71600,3554.92400,3828.48400,4030.633000,162.52230
50.00000,50.00000,50.00000,50.000000,50.00000
3672.42000,1707.65000,2108.81500,3081.664000,102.65890
2442.59900,2012.07200,1942.12500,949.667600,79.87220
128.79960,50.00000,50.00000,50.000000,50.00000
83.33333,159.43880,50.00000,50.000000,50.00000
568.82820,366.56890,318.57280,267.594300,50.00000
