name,date
USA/MT-BHDH-155/2021,2021-01-13
USA/KS-KHEL-0228/2020,2020-10-19
USA/CO-CDPHE-2009183838/2020,2020-09-18
USA/KS-QDX-4448/2020,2020-08-20
USA/LA-EVTL1824/2021,2021-01-19
USA/LA-EVTL1730/2021,2021-01-12
USA/MN-CDC-LC0032082/2021,2021-03-15
USA/OR-OHSU-10593/2021,2021-01-14
Canada/ON-PHL-21-01740/2020,2020-12-15
USA/TX-HMH-MCoV-24734/2021,2021-01-18
USA/MD-CDC-LC0008223/2021,2021-01-20
USA/NY-Wadsworth-21008329-01/2021,2021-01-12
USA/NY-UB-00838/2021,2021-02-11
USA/WI-WSLH-201583/2020,2020-10-23
USA/CA-CDPH-3000009316/2021,2021-02-09
USA/CA-CDPH-2000005167/2020,2020-12-29
deer/USA/IA-200443/2021,2021-01-09
USA/NY-Wadsworth-21000402-01/2021,2021-01-04
USA/KY-CDC-STM-000003139/2021,2021-01-14
USA/NY-COV-1023/2021,2021-01-16
USA/GA-CDC-LC0015686/2021,2021-02-10
USA/CA-CDC-FG-012749/2021,2021-03-08
USA/FL-Path-Saliva-117/2021,2021-02-15
USA/FL-CDC-QDX21872580/2021,2021-02-09
USA/CA-CZB-14792/2020,2020-11-13
USA/CA-CZB-14848/2020,2020-11-20
USA/CA-UCSF-JD190/2021,2021-01-26
USA/IA-CDC-2-3714359/2020,2020-11-28
USA/FL-Path-Saliva-672b/2021,2021-02-15
USA/FL-CDC-STM-000028516/2021,2021-03-03
USA/CA-CDPH-2000036103/2021,2021-02-02
USA/PA-M20152953/2020,2020-12-03
USA/PA-CDC-LC0027060/2021,2021-03-08
USA/VA-CDC-LC0010234/2021,2021-01-25
USA/NY-CDC-ASC210014715/2021,2021-03-22
USA/PA-CDC-STM-000034660/2021,2021-03-12
USA/VA-CDC-LC0010990/2021,2021-01-27
USA/MD-MDH-1571/2021,2021-03-07
USA/NY-Wadsworth-21008459-01/2021,2021-01-04
USA/TX-HMH-MCoV-24872/2021,2021-01-20
USA/NY-CUIMC-NP-4066/2021,2021-01-15
USA/CO-CDPHE-2100529372/2021,2021-03-02
USA/CA-CDPH-2000020621/2021,2021-01-03
USA/CA-CDC-QDX23571784/2021,2021-03-31
USA/WV-CDC-QDX23355269/2021,2021-03-25
USA/NV-NSPHL-323663/2021,2021-01-08
USA/CA-CDPH-2000008510/2020,2020-12-09
USA/PA-CDC-STM-000017428/2021,2021-02-18
USA/KY-CDC-LC0019435/2021,2021-02-19
USA/KS-KHEL-2459/2020,2020-07-16
Canada/ON-PHL-20-01042/2020,2020-06-15
Canada/ON-PHL-20-01114/2020,2020-05-15
Germany/BW-UT-012/2020,2020-05-20
dog/Germany/BY-MVP-000002393/2020,2020-11-24
France/PAC-IHU-39743_Nova1/2020,2020-04-15
Germany/BAV-PL-virotum_s368/2020,2020-03-22
Wales/PHWC-28A31/2020,2020-04-02
USA/TX-HMH-720/2020,2020-04-08
Switzerland/VD-CHUV-GEN2473/2020,2020-03-09
USA/IL-IDPH-WHI-C-001571/2020,2020-07-04
England/MILK-9C2B5B/2020,2020-09-10
France/HDF-100002711594/2021,2021-04-15
Ukraine/203100327/2020,2020-05-27
USA/CO-CDPHE-2006031453/2020,2020-06-03
USA/CA-CDPH-2000004389/2020,2020-12-24
Scotland/QEUH-A1FFAD/2020,2020-10-01
USA/IN-Lilly-IPB0173-01bc07/2020,2020-03-22
USA/TX-DSHS-000504/2020,2020-03-19
mink/Netherlands/NB-EMC-26-1/2020,2020-07-29
mink/Netherlands/NB-EMC-45-4/2020,2020-09-02
mink/Netherlands/NB-EMC-39-3/2020,2020-08-24
mink/Netherlands/NB-EMC-7-2/2020,2020-05-30
cat/Switzerland/SG-UZH-25025/2020,2020-12-17
cat/France/un-ENVT-LHOOQ/2020,2020-09-24
cat/Switzerland/ZH-UZH-USZ_10_Tier_2/2021,2021-01-20
dog/France/PAC-IHU-D53/2020,2020-11-15
Indonesia/JA-MRINUPH-EIJK-013/2021,2021-01-11
Japan/IC-0314/2020,2020-11-11
USA/CA-ALSR-1075-SAN/2020,2020-06-23
Egypt/ARMY-212/2021,2021-05-02
England/MILK-B14B94/2020,2020-10-21
England/CAMC-B07B85/2020,2020-10-29
England/MILK-6EE3EB/2020,2020-06-30
cat/Netherlands/UN-EMC-1/2020,2020-09-08
India/MH-IGIB-Q9873865/2021,2021-06-15
Saudi_Arabia/KAUST-JEDDAH831/2020,2020-05-24
United_Arab_Emirates/BTC-4583/2021,2021-01-01
United_Arab_Emirates/BTC-4579/2021,2021-01-01
Mexico/YUC-NYGC-8330-20/2020,2020-05-12
Wales/PHWC-2F33F/2020,2020-04-06
Canada/QC-1nKGZ-Q9282104/2020,2020-05-28
USA/OR-OHSU-1971/2020,2020-07-30
USA/NY-PRL-2021_0702_52P11/2020,2020-10-19
Egypt/NRC-6076/2020,2020-06-27
cat/Colombia/COR-U04/2021,2021-01-26
Australia/VIC18223/2021,2021-02-03
Indonesia/BA-EIJK-UNWAR-379/2021,2021-02-22
Chile/AR-173687/2021,2021-10-25
Ecuador/NIC-INSPI-15389/2021,2021-11-17
Colombia/VAC-CSB-1193212846/2021,2021-09-28
Colombia/DC-A253/2021,2021-03-23
Colombia/MAG-UCCSMR-VG354/2021,2021-10-04
Colombia/CES-UNIMOL-VG-184/2021,2021-10-08
Colombia/DC-INS-HUMB-VG-7522/2021,2021-07-18
Colombia/CAL-UTP-VG-355/2021,2021-09-27
Haiti/63310101/2021,2021-05-07
Barbados/76424/2021,2021-07-03
Saint_Vincent_and_the_Grenadines/82987/2021,2021-08-09
Aruba/AW-RIVM-39241/2021,2021-06-04
Ecuador/NIC-INSPI-340971/2021,2021-07-14
Bolivia/SAN-CABANA-PE-UPCH-2276/2021,2021-09-22
Chile/AN-157758/2021,2021-09-23
Colombia/ATL-UNIANDES-G027850/2021,2021-07-14
Colombia/DC-INS-HUMB-VG-7527/2021,2021-07-19
Colombia/RIS-LS-14173029080/2021,2021-09-23
Colombia/TOL-INS-HUMB-VG-7868/2021,2021-08-05
snow_leopard/USA/CA-21-021568-001/2021,2021-07-22
snow_leopard/USA/CA-21-022131-001/2021,2021-07-26
snow_leopard/USA/CA-SEARCH-104930/2021,2021-07-22
snow_leopard/USA/CA-SEARCH-104929/2021,2021-07-27
dog/Colombia/COR-U117/2021,2021-04-26
USA/AZ-TG1047429/2020,2020-09-01
USA/AZ-TG969462/2020,2020-09-05
USA/AZ-TG960399/2020,2020-09-04
USA/AZ-TG808524/2020,2020-08-25
USA/AZ-TG808539/2020,2020-08-25
USA/FL-BPHL-1718/2020,2020-09-30
cat/USA/20-023409-001/2020,2020-08-10
France/IDF-IPP3129/2020,2020-03-20
Denmark/DCGC-73109/2021,2021-01-04
Spain/CL-MS00751/2021,2021-02-17
Canada/ON-PHL-20-00142/2020,2020-05-15
USA/WI-MCW-CA009/2020,2020-04-01
Iceland/838/2020,2020-03-29
USA/MD-HP06614-PIDQFIJMRG/2020,2020-04-06
France/PAC-IHU-37945-Nova1M/2020,2020-04-15
