task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b8/b03255	1179984	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2022-02-14 11:39:46.905	985ms	0ms	59.5%	11.3 MB	16.3 MB	691.5 KB	1.7 KB
10	0c/30d938	1180327	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (3182)	COMPLETED	0	2022-02-14 11:39:47.959	828ms	6ms	76.2%	0	0	373 KB	288.5 KB
11	e7/a04105	1180346	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (4534)	COMPLETED	0	2022-02-14 11:39:47.969	882ms	12ms	59.3%	2.9 MB	3.9 MB	12.8 MB	12.7 MB
7	e7/da1a3c	1180966	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (3165)	COMPLETED	0	2022-02-14 11:39:48.790	646ms	7ms	88.9%	2.9 MB	3.9 MB	3.3 MB	3.2 MB
13	4d/0afc21	1181025	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (4538)	COMPLETED	0	2022-02-14 11:39:48.856	635ms	8ms	88.9%	2.9 MB	3.9 MB	5.8 MB	5.7 MB
12	7a/260c74	1181492	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (4535)	COMPLETED	0	2022-02-14 11:39:49.440	534ms	7ms	84.2%	2.9 MB	3.9 MB	3.1 MB	3.1 MB
6	a0/70c288	1181753	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (SARS-CoV-2.reference.fasta)	COMPLETED	0	2022-02-14 11:39:49.977	705ms	0ms	62.7%	3.2 MB	5.4 MB	139.3 KB	4.8 KB
8	d1/121955	1180298	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (4542)	COMPLETED	0	2022-02-14 11:39:47.934	4.1s	2s	150.5%	240.6 MB	4.6 GB	20 MB	2 MB
4	cd/0a7001	1181757	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (SARS-CoV-2.reference.fasta)	COMPLETED	0	2022-02-14 11:39:49.980	2.3s	1s	55.1%	76.8 MB	15.4 GB	17.9 MB	17.1 KB
2	18/f88668	1182391	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-01-18T12_00_00Z.tar.gz)	COMPLETED	0	2022-02-14 11:39:51.694	1s	49ms	117.1%	6.9 MB	11.1 MB	12.2 MB	21.8 MB
