# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	2	2	23	0	0	12	2	0	2	11
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	2	0	25	0	0	10	0	0	2	15
N	gene-N	TRANSCRIPT_gene-N	protein_coding	0	0	3	18	0	0	2	3	0	0	16
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	1	1	16	0	0	0	1	0	1	16
ORF1a	gene-ORF1a	TRANSCRIPT_gene-ORF1a	protein_coding	0	21	16	13	0	1	12	15	0	21	1
ORF1b	gene-ORF1b	TRANSCRIPT_gene-ORF1b	protein_coding	0	8	9	36	0	0	15	9	0	8	21
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	0	0	2	26	0	0	16	2	0	0	10
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	2	0	21	0	0	8	0	0	2	13
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	0	0	0	23	0	0	8	0	0	0	15
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	1	0	2	20	0	0	5	2	1	0	15
S	gene-S	TRANSCRIPT_gene-S	protein_coding	0	3	6	26	1	0	18	5	0	3	8
