# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	2	1	23	0	12	0	1	0	2	11
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	1	0	25	0	11	0	0	0	1	14
N	gene-N	TRANSCRIPT_gene-N	protein_coding	0	1	3	20	0	5	0	3	0	1	15
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	2	1	17	0	2	0	1	0	2	15
ORF1a	gene-ORF1a	TRANSCRIPT_gene-ORF1a	protein_coding	4	13	16	6	0	6	4	16	0	13	0
ORF1b	gene-ORF1b	TRANSCRIPT_gene-ORF1b	protein_coding	0	5	7	30	1	14	0	6	0	5	16
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	0	1	2	25	0	15	0	2	0	1	10
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	0	0	26	0	11	0	0	0	0	15
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	0	0	0	26	0	11	0	0	0	0	15
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	1	0	1	24	0	9	0	1	1	0	15
S	gene-S	TRANSCRIPT_gene-S	protein_coding	2	2	4	25	0	18	2	4	0	2	7
