chrom	start	end	coverage	sample
MN908947.3	0	200	0	4693
MN908947.3	200	400	209.67	4693
MN908947.3	400	600	1447.67	4693
MN908947.3	600	800	1485.86	4693
MN908947.3	800	1000	1716.72	4693
MN908947.3	1000	1200	277.74	4693
MN908947.3	1200	1400	0	4693
MN908947.3	1400	1600	303.58	4693
MN908947.3	1600	1800	1342.05	4693
MN908947.3	1800	2000	321.1	4693
MN908947.3	2000	2200	89.46	4693
MN908947.3	2200	2400	177.17	4693
MN908947.3	2400	2600	120.81	4693
MN908947.3	2600	2800	3393.94	4693
MN908947.3	2800	3000	2551.63	4693
MN908947.3	3000	3200	24.47	4693
MN908947.3	3200	3400	83.31	4693
MN908947.3	3400	3600	213.04	4693
MN908947.3	3600	3800	690.76	4693
MN908947.3	3800	4000	232.96	4693
MN908947.3	4000	4200	77.91	4693
MN908947.3	4200	4400	107.11	4693
MN908947.3	4400	4600	113.41	4693
MN908947.3	4600	4800	190.17	4693
MN908947.3	4800	5000	161.16	4693
MN908947.3	5000	5200	116.25	4693
MN908947.3	5200	5400	547.68	4693
MN908947.3	5400	5600	1210.49	4693
MN908947.3	5600	5800	1869.03	4693
MN908947.3	5800	6000	347.3	4693
MN908947.3	6000	6200	0	4693
MN908947.3	6200	6400	0	4693
MN908947.3	6400	6600	0	4693
MN908947.3	6600	6800	0	4693
MN908947.3	6800	7000	0	4693
MN908947.3	7000	7200	0	4693
MN908947.3	7200	7400	0	4693
MN908947.3	7400	7600	1.85	4693
MN908947.3	7600	7800	4.54	4693
MN908947.3	7800	8000	2.46	4693
MN908947.3	8000	8200	3.67	4693
MN908947.3	8200	8400	2.13	4693
MN908947.3	8400	8600	0	4693
MN908947.3	8600	8800	107.85	4693
MN908947.3	8800	9000	134.71	4693
MN908947.3	9000	9200	0	4693
MN908947.3	9200	9400	0	4693
MN908947.3	9400	9600	0	4693
MN908947.3	9600	9800	200.73	4693
MN908947.3	9800	10000	353.05	4693
MN908947.3	10000	10200	70.58	4693
MN908947.3	10200	10400	3.84	4693
MN908947.3	10400	10600	606.37	4693
MN908947.3	10600	10800	1103.93	4693
MN908947.3	10800	11000	202.82	4693
MN908947.3	11000	11200	320.99	4693
MN908947.3	11200	11400	177.62	4693
MN908947.3	11400	11600	430.01	4693
MN908947.3	11600	11800	553.69	4693
MN908947.3	11800	12000	0	4693
MN908947.3	12000	12200	29.48	4693
MN908947.3	12200	12400	1043.31	4693
MN908947.3	12400	12600	316.17	4693
MN908947.3	12600	12800	0	4693
MN908947.3	12800	13000	84.68	4693
MN908947.3	13000	13200	609.01	4693
MN908947.3	13200	13400	939.2	4693
MN908947.3	13400	13600	1445.2	4693
MN908947.3	13600	13800	1327.35	4693
MN908947.3	13800	14000	225.55	4693
MN908947.3	14000	14200	0	4693
MN908947.3	14200	14400	0	4693
MN908947.3	14400	14600	0	4693
MN908947.3	14600	14800	0	4693
MN908947.3	14800	15000	0	4693
MN908947.3	15000	15200	0	4693
MN908947.3	15200	15400	0	4693
