# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	2	1	29	0	0	11	1	0	2	18
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	2	0	28	0	0	9	0	0	2	19
N	gene-N	TRANSCRIPT_gene-N	protein_coding	0	0	3	18	0	0	2	3	0	0	16
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	1	1	16	0	0	0	1	0	1	16
ORF1a	gene-ORF1a	TRANSCRIPT_gene-ORF1a	protein_coding	0	29	18	14	0	1	12	17	0	29	2
ORF1b	gene-ORF1b	TRANSCRIPT_gene-ORF1b	protein_coding	0	10	10	44	0	0	19	10	0	10	25
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	0	1	3	29	0	0	14	3	0	1	15
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	2	0	22	0	0	7	0	0	2	15
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	0	0	0	23	0	0	7	0	0	0	16
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	1	0	1	21	0	0	5	1	1	0	16
S	gene-S	TRANSCRIPT_gene-S	protein_coding	0	4	8	29	1	0	18	7	0	4	11
