
Analysis Description
--------------------
aBSREL (Adaptive branch-site random effects likelihood) uses an adaptive
random effects branch-site model framework to test whether each branch
has evolved under positive selection, using a procedure which infers an
optimal number of rate categories per branch.

- __Requirements__: in-frame codon alignment and a phylogenetic tree

- __Citation__: Less Is More: An Adaptive Branch-Site Random Effects Model for Efficient
Detection of Episodic Diversifying Selection (2015). Mol Biol Evol 32
(5): 1342-1353. v2.2 adds support for multiple-hit models

- __Written by__: Sergei L Kosakovsky Pond, Ben Murrell, Steven Weaver and Temple iGEM /
UCSD viral evolution group

- __Contact Information__: spond@temple.edu

- __Analysis Version__: 2.2


>code –> Universal

-------
>[WARNING] This dataset contains 59 duplicate sequences. Identical
sequences do not contribute any information to the analysis and only
slow down computation. Please consider removing duplicate or 'nearly'
duplicate sequences, e.g. using
https://github.com/veg/hyphy-analyses/tree/master/remove-duplicates
prior to running selection analyses
-------

>Loaded a multiple sequence alignment with **160** sequences, **1273** codons, and **1** partitions from `/home/finlaymaguire/workspace/basic/clean_run/S/B1_and_deer_S.fasta`

>branches –> on_deer

>multiple-hits –> None


### * Selected 11 branches for testing: `4581, 4662, Node267, 4645, Node266, Canada_ON_PHL_21_44225_2021, Node265, 4649, Node264, 4658, Node263`


### Obtaining branch lengths and nucleotide substitution biases under the nucleotide GTR model

>kill-zero-lengths –> Yes

### Deleted 134 zero-length internal branches: `Node100, Node105, Node11, Node111, Node113, Node115, Node117, Node12, Node13, Node14, Node15, Node16, Node17, Node18, Node184, Node19, Node2, Node20, Node203, Node204, Node208, Node209, Node21, Node213, Node215, Node22, Node222, Node223, Node224, Node225, Node226, Node227, Node228, Node229, Node23, Node24, Node246, Node247, Node25, Node255, Node256, Node257, Node258, Node259, Node26, Node262, Node264, Node265, Node266, Node267, Node27, Node278, Node279, Node28, Node280, Node281, Node282, Node283, Node284, Node285, Node286, Node287, Node288, Node289, Node29, Node290, Node291, Node292, Node293, Node294, Node295, Node3, Node30, Node31, Node32, Node33, Node34, Node35, Node36, Node37, Node38, Node39, Node40, Node41, Node42, Node43, Node44, Node45, Node46, Node47, Node48, Node49, Node50, Node51, Node52, Node53, Node54, Node55, Node56, Node57, Node58, Node59, Node60, Node61, Node62, Node63, Node64, Node65, Node66, Node67, Node68, Node69, Node70, Node71, Node72, Node73, Node74, Node75, Node76, Node77, Node78, Node79, Node80, Node81, Node82, Node83, Node84, Node85, Node87, Node88, Node92, Node93, Node94, Node95`
* Log(L) = -6196.43, AIC-c = 13043.20 (325 estimated parameters)

### Fitting the baseline model with a single dN/dS class per branch, and no site-to-site variation. 
* Log(L) = -5963.67, AIC-c = 12688.76 (380 estimated parameters)
* Branch-level non-synonymous/synonymous rate ratio distribution has median  0.35, and 95% of the weight in  0.00 - 10000000000.00

### Determining the optimal number of rate classes per branch using a step up procedure

|              Branch               |  Length  |  Rates   |     Max. dN/dS     |    Log(L)     |     AIC-c     |Best AIC-c so far|
|-----------------------------------|----------|----------|--------------------|---------------|---------------|-----------------|
|  hCoV_19_USA_WI_GMF_B00788_2021   |   0.00   |    2     |    0.96 (23.57%)   |   -5963.67    |   12692.78    |    12688.76     |
|hCoV_19_USA_CA_SEARCH_14715_2021...|   0.00   |    2     |   28.00 ( 5.00%)   |   -5963.68    |   12692.80    |    12688.76     |
|hCoV_19_Germany_BY_RKI_I_046626_...|   0.00   |    2     |   29.22 ( 5.00%)   |   -5963.66    |   12692.75    |    12688.76     |
|hCoV_19_USA_CT_CDC_QDX22257993_2...|   0.00   |    2     |  >1000 (100.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|  hCoV_19_Turkey_HSGM_D15451_2021  |   0.00   |    2     |  >1000 (100.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|              Node263              |   0.00   |    2     |    0.70 (22.11%)   |   -5963.67    |   12692.78    |    12688.76     |
|               4662                |   0.00   |    2     |    0.70 (25.21%)   |   -5963.67    |   12692.78    |    12688.76     |
|              Node132              |   0.00   |    2     |    0.71 (25.08%)   |   -5963.67    |   12692.78    |    12688.76     |
|hCoV_19_Indonesia_JB_GS_WJHL_ITB...|   0.00   |    2     |    0.71 (23.96%)   |   -5963.67    |   12692.78    |    12688.76     |
|               4658                |   0.00   |    2     |    1.00 (25.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|               Node4               |   0.00   |    2     |  >1000 (100.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|hCoV_19_India_MH_ACTREC_633_2020...|   0.00   |    2     |  >1000 (100.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|              Node261              |   0.00   |    2     |  >1000 (100.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|hCoV_19_USA_CA_CDPH_2000028319_2...|   0.00   |    2     |    0.28 ( 0.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|hCoV_19_mink_Denmark_mDK_152_202...|   0.00   |    2     |    0.29 ( 0.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|        __reroot_top_clade         |   0.00   |    2     |    0.50 (50.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|  hCoV_19_Denmark_DCGC_22602_2020  |   0.00   |    2     |    0.50 (50.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|hCoV_19_USA_MD_HP06635_PIDLEHQTM...|   0.00   |    2     |    0.50 (50.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|              Node104              |   0.00   |    2     |    0.96 ( 0.04%)   |   -5964.39    |   12694.22    |    12688.76     |
|    Canada_ON_PHL_21_44225_2021    |   0.00   |    2     |  >1000 (100.00%)   |   -5963.67    |   12692.78    |    12688.76     |
|   hCoV_19_Burkina_Faso_49_2021    |   0.00   |    2     |   1.00 (100.00%)   |   -5964.27    |   12693.98    |    12688.76     |
